Missing Interval (minutes),Count
2.0,148621
6122.0,1
2882.0,1
1442.0,2
40.0,4
138.0,2
39.0,2
41.0,2
659.0,1
187.0,1
70.0,2
626.0,1
46.0,2
153.0,1
89.0,1
266.0,1
173.0,1
111.0,1
42.0,4
86.0,2
847.0,1
337.0,1
96.0,1
3.0,68946
163.0,2
31.0,3
106.0,3
6.0,7466
109.0,1
356.0,1
190.0,1
176.0,1
71.0,1
141.0,1
57.0,2
93.0,1
22.0,3
44.0,3
156.0,1
43.0,3
92.0,2
10.0,471
238.0,1
159.0,1
47.0,2
283.0,1
322.0,1
5.0,15593
285.0,1
84.0,1
788.0,1
592.0,1
1007.0,1
1053.0,1
1212.0,1
384.0,1
343.0,1
1061.0,1
837.0,1
935.0,1
864.0,1
51.0,1
101.0,1
13.0,86
358.0,1
644.0,1
1029.0,1
518.0,1
67.0,2
148.0,1
247.0,1
58.0,1
331.0,1
108.0,1
28.0,3
26.0,6
87.0,1
95.0,1
346.0,1
392.0,2
249.0,1
14.0,46
4.0,33505
2575.0,1
19.0,6
211.0,1
107.0,1
117.0,1
8.0,1832
7.0,3834
1796.0,1
9.0,932
11.0,248
296.0,2
15.0,31
12.0,144
16.0,22
49.0,1
229.0,1
125.0,1
65.0,2
17.0,9
63.0,1
137.0,1
20.0,5
23.0,2
276.0,1
213.0,1
52.0,1
24.0,1
636.0,1
390.0,1
450.0,1
56.0,1
275.0,1
132.0,1
370.0,1
35.0,3
114.0,1
2340.0,1
145.0,1
338.0,1
574.0,1
635.0,1
21.0,2
103.0,1
142.0,2
239.0,1
410.0,1
218.0,1
186.0,1
461.0,1
170.0,1
18.0,8
199.0,1
29.0,2
301.0,1
217.0,1
175.0,1
4986.0,1
812.0,1
1012.0,1
265.0,1
27.0,1
126.0,1
192.0,1
339.0,1
3404.0,1
6961.0,1
8813.0,1
584.0,1
440.0,1
333.0,1
79.0,1
53.0,2
760.0,1
80.0,1
625.0,1
290.0,1
50.0,2
25.0,3
61.0,1
37.0,2
55.0,1
33.0,2
304.0,1
32.0,1
30.0,1
38.0,1
827.0,1
459.0,1
48.0,1
28618.0,1
454.0,1
324.0,1
60.0,1
82.0,1
381.0,1
