Number of peaks RSAM VRBA,Avg Prominence RSAM VRBA,Max Prominence RSAM VRBA,Std Prominence RSAM VRBA,Avg h Width RSAM VRBA,Max h Width RSAM VRBA,Std h Width RSAM VRBA,Avg peak RSAM VRBA,Max peak RSAM VRBA,Std peak RSAM VRBA,Number of drops RSAM VRBA,Avg Drop Depth RSAM VRBA,Max Drop Depth RSAM VRBA,Std Drop Depth RSAM VRBA,Avg l Width RSAM VRBA,Max l Width RSAM VRBA,Std l Width RSAM VRBA,Avg drop RSAM VRBA,Max drop RSAM VRBA,Std drop RSAM VRBA,Quantile Changes RSAM VRBA,Avg Value RSAM VRBA,Std Value RSAM VRBA,Median Value RSAM VRBA,Var Value RSAM VRBA,Mean Min Values RSAM VRBA,Number of peaks DSAR VRBA,Avg Prominence DSAR VRBA,Max Prominence DSAR VRBA,Std Prominence DSAR VRBA,Avg h Width DSAR VRBA,Max h Width DSAR VRBA,Std h Width DSAR VRBA,Avg peak DSAR VRBA,Max peak DSAR VRBA,Std peak DSAR VRBA,Number of drops DSAR VRBA,Avg Drop Depth DSAR VRBA,Max Drop Depth DSAR VRBA,Std Drop Depth DSAR VRBA,Avg l Width DSAR VRBA,Max l Width DSAR VRBA,Std l Width DSAR VRBA,Avg drop DSAR VRBA,Max drop DSAR VRBA,Std drop DSAR VRBA,Quantile Changes DSAR VRBA,Avg Value DSAR VRBA,Std Value DSAR VRBA,Median Value DSAR VRBA,Var Value DSAR VRBA,Mean Min Values DSAR VRBA,Number of peaks RSAM VORI,Avg Prominence RSAM VORI,Max Prominence RSAM VORI,Std Prominence RSAM VORI,Avg h Width RSAM VORI,Max h Width RSAM VORI,Std h Width RSAM VORI,Avg peak RSAM VORI,Max peak RSAM VORI,Std peak RSAM VORI,Number of drops RSAM VORI,Avg Drop Depth RSAM VORI,Max Drop Depth RSAM VORI,Std Drop Depth RSAM VORI,Avg l Width RSAM VORI,Max l Width RSAM VORI,Std l Width RSAM VORI,Avg drop RSAM VORI,Max drop RSAM VORI,Std drop RSAM VORI,Quantile Changes RSAM VORI,Avg Value RSAM VORI,Std Value RSAM VORI,Median Value RSAM VORI,Var Value RSAM VORI,Mean Min Values RSAM VORI,Number of peaks DSAR VORI,Avg Prominence DSAR VORI,Max Prominence DSAR VORI,Std Prominence DSAR VORI,Avg h Width DSAR VORI,Max h Width DSAR VORI,Std h Width DSAR VORI,Avg peak DSAR VORI,Max peak DSAR VORI,Std peak DSAR VORI,Number of drops DSAR VORI,Avg Drop Depth DSAR VORI,Max Drop Depth DSAR VORI,Std Drop Depth DSAR VORI,Avg l Width DSAR VORI,Max l Width DSAR VORI,Std l Width DSAR VORI,Avg drop DSAR VORI,Max drop DSAR VORI,Std drop DSAR VORI,Quantile Changes DSAR VORI,Avg Value DSAR VORI,Std Value DSAR VORI,Median Value DSAR VORI,Var Value DSAR VORI,Mean Min Values DSAR VORI,Coverage Percentage VRBA,Coverage Percentage VORI RSAM,Coverage Percentage VORI DSAR
1,0.09362757698359303,0.09362757698359303,0.0,2.0,2.0,0.0,103.25882474163232,103.25882474163232,0.0,1,17.39259670776316,17.39259670776316,0.0,2274.193614752766,2274.193614752766,0.0,61.04085981817657,61.04085981817657,0.0,10.544625365807342,86.80669686350082,36.439732144769465,75.80378436847523,1327.8540787825452,43.85603185929699,1,0.0004954728720560908,0.0004954728720560908,0.0,2.0,2.0,0.0,0.7819663378576516,0.7819663378576516,0.0,1,0.2754988988400966,0.2754988988400966,0.0,3186.8583295816893,3186.8583295816893,0.0,0.506467439017555,0.506467439017555,0.0,0.05477768290543868,0.6463693942463352,0.21625866786052644,0.6599996858573971,0.04676781142480949,0.263317352790522,1,47.583920096768566,47.583920096768566,0.0,479.86848018748606,479.86848018748606,0.0,896.2323732030355,896.2323732030355,0.0,1,115.44973990908989,115.44973990908989,0.0,2464.3100759821596,2464.3100759821596,0.0,412.63472400137766,412.63472400137766,0.0,67.11459608354207,623.3185637466521,263.66350497764813,549.2463625968301,69518.44385709827,296.8763204683618,1,0.8931536678946808,0.8931536678946808,0.0,3516.246528380206,3516.246528380206,0.0,3.887419938374718,3.887419938374718,0.0,2,0.0019039321225027273,0.002919932690180982,0.0010160005676782546,4.0,4.0,0.0,2.8666269838584872,2.767892502943111,0.09873448091537629,0.3638958364669105,3.4302957746128544,0.721826875987652,3.3225941992463337,0.5210340388980932,2.3845821020370597,78.20542545791793,99.97681428240203,99.97681428240203
1,2.532835143118575,2.532835143118575,0.0,402.0,402.0,0.0,62.936458717284594,62.936458717284594,0.0,1,14.631097632735909,14.631097632735909,0.0,1910.6882079295606,1910.6882079295606,0.0,43.22444467784176,43.22444467784176,0.0,18.61696662819946,59.408789736046046,42.060477224722305,55.400414360476496,1769.0837443713835,31.43390781954296,2,0.000565015065896457,0.0010904354905951763,0.0005254204246987193,4.5,7.0,2.5,0.7007655260349543,0.7633371548964998,0.06257162886154544,1,0.08986380728509336,0.08986380728509336,0.0,2018.7046186356415,2018.7046186356415,0.0,0.48697687599771533,0.48697687599771533,0.0,0.08190926129448407,0.5904500345234925,0.20478161297255776,0.572616592668129,0.04193550901164243,0.26423737957266136,2,53.304690497158646,106.32275937522883,53.01806887807018,985.2882345135658,1966.5764690271317,981.2882345135658,431.7350914597183,454.46650475947877,22.731413299760476,2,8.937008014164263,17.228716038193056,8.291708024028793,561.3653259977034,1112.7306519954068,551.3653259977034,318.20952661862395,310.4996063149165,7.709920303707435,65.45802807268615,385.44952557206113,125.42136131816764,362.55359168429953,15730.517874902358,220.96740481980314,2,0.2956613206348977,0.5897361719589282,0.29407485132403055,1615.0330020031447,3219.0660040062894,1604.0330020031447,3.9885961708962285,4.074194317849329,0.08559814695310086,2,0.0009135813936840265,0.0013389380595834055,0.00042535666589937904,4.0,6.0,2.0,2.8854096156214695,2.7010042676627704,0.18440534795869934,0.44788774671328657,3.6743483968494792,0.8847186476148744,3.608164390215868,0.7827270854374924,2.303156259140651,99.90725712960817,99.95362856480408,99.95362856480408
1,0.0016110870919980869,0.0016110870919980869,0.0,2.0,2.0,0.0,26.48655104660532,26.48655104660532,0.0,1,1.5224815733638302,1.5224815733638302,0.0,1511.6387948613706,1511.6387948613706,0.0,22.745116030204738,22.745116030204738,0.0,124.3910083189051,41.027183898319834,592.007109895621,24.273638337686336,350472.4181669659,20.605615171706134,1,0.0006897166295523061,0.0006897166295523061,0.0,6.0,6.0,0.0,0.55888444775092,0.55888444775092,0.0,1,0.03950209254690484,0.03950209254690484,0.0,559.0,559.0,0.0,0.3911770708925896,0.3911770708925896,0.0,0.04555362474036798,0.4140214732278132,0.18288125187098386,0.4176952939014391,0.03344555228589824,0.14987835293581525,1,61.94777528474698,61.94777528474698,0.0,2001.087692531958,2001.087692531958,0.0,164.8106572795009,164.8106572795009,0.0,1,91.84567282524281,91.84567282524281,0.0,2653.323100252455,2653.323100252455,0.0,64.24361547629704,64.24361547629704,0.0,48.78264134675565,142.61111399841855,163.95011414536597,126.99310004252116,26879.639928278528,49.22152262924054,1,0.7342453853625548,0.7342453853625548,0.0,2097.4920775687715,2097.4920775687715,0.0,4.127729228921529,4.127729228921529,0.0,2,0.22834762454295654,0.43968452364227506,0.21133689909931852,1052.8767751606292,2003.7535503212584,950.8767751606292,3.040813100831503,2.9788187340580548,0.061994366773448606,0.47747693148033127,3.547516763771615,0.9733261766586148,3.4078427743919875,0.9473638461688769,2.390904996317016,66.91398098771157,99.95362856480408,99.95362856480408
1,6.176591691469,6.176591691469,0.0,636.0,636.0,0.0,71.46272074068807,71.46272074068807,0.0,1,0.029676081260447518,0.029676081260447518,0.0,2.0,2.0,0.0,38.97119148497348,38.97119148497348,0.0,8.096785323767069,56.8010443745448,23.78527638762299,55.1522078442925,565.7393728356157,23.915536089804736,1,0.5403784989041187,0.5403784989041187,0.0,3451.3697951376694,3451.3697951376694,0.0,0.887468950070629,0.887468950070629,0.0,1,0.0020788771374296577,0.0020788771374296577,0.0,8.0,8.0,0.0,0.3470904511665103,0.3470904511665103,0.0,0.07319784838975459,0.6271695408405379,0.3049410799844131,0.6431161352523558,0.09298906226206022,0.17769175904131174,1,46.92902462001234,46.92902462001234,0.0,2758.909509248401,2758.909509248401,0.0,329.2281912120484,329.2281912120484,0.0,1,0.49462226624373784,0.49462226624373784,0.0,30.0,30.0,0.0,99.45270977046752,99.45270977046752,0.0,25.890515802795704,251.7420810729487,112.04778148970098,266.46387341231457,12554.705336763778,84.0053577416653,1,0.10851053875874683,0.10851053875874683,0.0,1128.0974437738569,1128.0974437738569,0.0,3.8518623829845566,3.8518623829845566,0.0,1,0.10299059684159317,0.10299059684159317,0.0,1121.3663457188154,1121.3663457188154,0.0,2.2956213885714627,2.2956213885714627,0.0,0.280636674519012,3.2324431859280587,0.7930308863299604,3.304525303564194,0.6288979866732827,1.9305599047634427,82.72664038952006,99.95362856480408,99.95362856480408
1,69.09393907750979,69.09393907750979,0.0,2615.6132446235943,2615.6132446235943,0.0,156.26596019518,156.26596019518,0.0,1,0.04065175011580635,0.04065175011580635,0.0,2.0,2.0,0.0,31.750953919773995,31.750953919773995,0.0,16.955259899784725,97.07672408730737,67.77321307101398,84.67223003805375,4593.208409969061,27.663052627705973,1,0.25923840131745374,0.25923840131745374,0.0,3416.9113185898136,3416.9113185898136,0.0,0.6967580558175642,0.6967580558175642,0.0,1,0.00039752173878460084,0.00039752173878460084,0.0,8.0,8.0,0.0,0.2901306014156792,0.2901306014156792,0.0,0.05133213767410526,0.5882135306446655,0.31445525225682486,0.593338702492876,0.09888210567190335,0.1715540409082981,1,127.71497670213432,127.71497670213432,0.0,2588.644715957613,2588.644715957613,0.0,551.6127463341331,551.6127463341331,0.0,2,1.0722605923531745,1.7917184323174808,0.7194578399643063,70.0,106.0,36.0,170.13750453762924,148.28057609003176,21.856928447597483,33.29027537881795,394.0966620144387,191.27510345701322,386.06864801028433,36586.16520249111,128.2822242490583,1,1.3804439088851348,1.3804439088851348,0.0,2244.920677501894,2244.920677501894,0.0,5.485968695820599,5.485968695820599,0.0,1,0.09074668736556912,0.09074668736556912,0.0,1002.8704676124512,1002.8704676124512,0.0,3.1636676053738935,3.1636676053738935,0.0,0.5589322255191143,4.301159489795266,2.002603661548409,3.9479591169640833,4.010421425247095,2.7871233902126145,99.83769997681429,99.95362856480408,99.95362856480408
1,0.08872850968818113,0.08872850968818113,0.0,30.0,30.0,0.0,88.2875869325286,88.2875869325286,0.0,1,0.058219086425467026,0.058219086425467026,0.0,6.0,6.0,0.0,37.20671149369265,37.20671149369265,0.0,8.749274862563178,68.8575368090914,26.171875309162072,68.36228036351896,684.9670571983273,31.481508951400755,2,0.0005528319027666706,0.0007976345894934456,0.00024480268672677497,8.0,12.0,4.0,0.6158999490987153,0.6519768710896042,0.036076921990888966,2,0.007293272387841887,0.010976905243943347,0.0036836328561014597,197.48763025239555,374.9752605047911,177.48763025239555,0.40542147353421887,0.34270406610472176,0.06271740742949708,0.04830986596575033,0.4999637427114513,0.15428821736911072,0.5106936042409653,0.02380485401893796,0.23255381756099242,1,33.755736366965266,33.755736366965266,0.0,1786.6285766766773,1786.6285766766773,0.0,418.3385644229761,418.3385644229761,0.0,1,0.2891008538777555,0.2891008538777555,0.0,6.0,6.0,0.0,275.1093349262667,275.1093349262667,0.0,25.970782297998504,368.04355376541474,92.99853721995757,379.1702844959222,8648.727925051833,180.5753008469587,1,0.5787872735328579,0.5787872735328579,0.0,3964.123245400091,3964.123245400091,0.0,4.516022495480467,4.516022495480467,0.0,2,0.00308257883844143,0.005480217677872545,0.0023976388394311154,5.0,8.0,3.0,3.8246446569743116,3.7104208758588673,0.11422378111544429,0.4704412966745656,4.259284520422835,0.8665099373327422,4.121300841326796,0.7508394714963929,3.0569813215659156,99.95362856480408,99.95362856480408,99.95362856480408
1,0.20098622844543002,0.20098622844543002,0.0,6.0,6.0,0.0,55.91960618564004,55.91960618564004,0.0,1,2.0610403612347064,2.0610403612347064,0.0,1338.3902061072965,1338.3902061072965,0.0,23.023106107293998,23.023106107293998,0.0,14.385824272161098,39.09127445812393,54.550080488203726,30.234020495352098,2975.711281269505,20.64082684521795,1,0.0005181047563223018,0.0005181047563223018,0.0,2.0,2.0,0.0,0.7010000595652999,0.7010000595652999,0.0,1,0.03325980704078563,0.03325980704078563,0.0,666.8028860441095,666.8028860441095,0.0,0.3011957832756277,0.3011957832756277,0.0,0.04144746942443909,0.4419778261657395,0.19443801170093997,0.4366072936029342,0.03780614039421487,0.16223136601899604,1,7.115735522275031,7.115735522275031,0.0,216.0,216.0,0.0,463.9804495265773,463.9804495265773,0.0,1,95.35141820313984,95.35141820313984,0.0,3222.073452515005,3222.073452515005,0.0,104.37863811015626,104.37863811015626,0.0,30.887429352345517,225.19842365714467,176.57932933220906,151.0380902258753,31180.25954741274,78.01741511573096,1,0.002085309097499266,0.002085309097499266,0.0,2.0,2.0,0.0,3.412179127631389,3.412179127631389,0.0,1,0.780677218664068,0.780677218664068,0.0,2730.8352804501556,2730.8352804501556,0.0,2.03215076226462,2.03215076226462,0.0,0.5202104605930538,2.79880737200278,1.9274102438900427,2.696031710345078,3.7149102482522736,1.539021229055732,83.46858335265478,99.95362856480408,99.95362856480408
2,0.032178539753800806,0.03637824239319798,0.004199702639397174,5.0,6.0,1.0,86.04908041971021,86.65172474358438,0.6026443238741805,2,0.08524231436341623,0.16160484736876413,0.0763625330053479,18.0,32.0,14.0,53.87910110681808,50.069917243514375,3.8091838633037014,5.002229286261958,72.41340584012558,20.01245146135802,76.08334895423845,400.49821349321076,39.738002652340406,1,0.0004039536769411267,0.0004039536769411267,0.0,18.0,18.0,0.0,0.751213775814183,0.751213775814183,0.0,1,0.0017177940172856676,0.0017177940172856676,0.0,20.0,20.0,0.0,0.3553373138473832,0.3553373138473832,0.0,0.043272261713728444,0.5725346873775149,0.23311378555204457,0.5533727434503947,0.054342037014404626,0.22615521084438137,1,63.43649225029583,63.43649225029583,0.0,1461.9350755323226,1461.9350755323226,0.0,666.3091822359895,666.3091822359895,0.0,1,0.40658959360905556,0.40658959360905556,0.0,2.0,2.0,0.0,486.27128717783063,486.27128717783063,0.0,41.49944564667363,594.0109557518464,138.37073895212686,610.808301399411,19146.461398157637,326.4489299604243,1,0.30566707464703935,0.30566707464703935,0.0,664.0,664.0,0.0,5.714562712900733,5.714562712900733,0.0,1,0.07920327039440345,0.07920327039440345,0.0,1325.908585450718,1325.908585450718,0.0,2.8382142734681195,2.8382142734681195,0.0,0.7116723936034668,3.8093411836948747,1.431518112156138,3.163140682466489,2.0492441054310735,2.531379436872778,99.90725712960817,99.95362856480408,99.95362856480408
2,1.0947861757586743,1.2402174306299543,0.14543125487127995,632.4615270322745,637.0,4.538472967725454,36.933026471534994,37.026535773611776,0.09350930207678232,1,0.0066472210087766825,0.0066472210087766825,0.0,2.0,2.0,0.0,25.038321483590472,25.038321483590472,0.0,5.072712600735945,32.685986786524275,10.44799482861761,30.746774201411075,109.16059593882031,22.306205335924776,1,0.06566735283115754,0.06566735283115754,0.0,3665.6207236104146,3665.6207236104146,0.0,0.48167046760096655,0.48167046760096655,0.0,1,1.6983332783326865e-05,1.6983332783326865e-05,0.0,4.0,4.0,0.0,0.4090631628738864,0.4090631628738864,0.0,0.0338882771133587,0.4410794519633195,0.12928369914922164,0.4544487695398004,0.01671427486570645,0.2044160575032633,1,0.19368474158534355,0.19368474158534355,0.0,2.0,2.0,0.0,278.83075173675445,278.83075173675445,0.0,1,0.08029831826758027,0.08029831826758027,0.0,2.0,2.0,0.0,181.34301765338728,181.34301765338728,0.0,32.404754895376755,248.64474090403803,76.60139163536861,238.14232943554453,5867.773200475121,140.8545259444925,1,0.35435675029733815,0.35435675029733815,0.0,1753.4928315971501,1753.4928315971501,0.0,4.597272633422854,4.597272633422854,0.0,1,0.3762297723580481,0.3762297723580481,0.0,3072.2367796318963,3072.2367796318963,0.0,4.108997063493705,4.108997063493705,0.0,0.4451348580810103,4.394244371373969,0.9000748989267978,4.346258518323196,0.8101348236780853,2.9597631620818814,98.63204266172038,99.95362856480408,99.95362856480408
1,0.7294859915511047,0.7294859915511047,0.0,628.0,628.0,0.0,31.033556900336745,31.033556900336745,0.0,1,1.0199495525930544,1.0199495525930544,0.0,587.6763082176176,587.6763082176176,0.0,25.729225280797035,25.729225280797035,0.0,37.242680343000096,36.1360599413013,224.4757657100937,28.021438852348048,50389.369391132874,20.87302789409154,1,0.05057526587105493,0.05057526587105493,0.0,2125.138898820628,2125.138898820628,0.0,0.47865877192200257,0.47865877192200257,0.0,1,0.02944705462748548,0.02944705462748548,0.0,264.0,264.0,0.0,0.3736898332313468,0.3736898332313468,0.0,0.0397091475641103,0.42066445271487835,0.14001214197285416,0.4343174371051375,0.019603399899826672,0.18436558571842174,1,0.26244171439580555,0.26244171439580555,0.0,2.0,2.0,0.0,246.0327666372774,246.0327666372774,0.0,1,0.02111054737324025,0.02111054737324025,0.0,2.0,2.0,0.0,75.12392154720004,75.12392154720004,0.0,73.8373985204978,187.71920110464978,411.316382546895,184.49311271628653,169181.16655146366,59.2709667281984,2,0.015426087019382528,0.022995733859845657,0.007569646840463129,52.32187712295314,90.64375424590628,38.32187712295314,4.280535979812003,4.398254958258845,0.11771897844684309,2,0.0027497523182606898,0.0037381221041847823,0.0009883697859240925,4.0,6.0,2.0,3.0545845003020604,2.864401553240412,0.19018294706164807,0.4768236948658503,3.8158616267493892,1.0681083442675188,3.70594980914514,1.1408554350939002,2.570424331796936,69.46440992348714,99.95362856480408,99.95362856480408
