Sum_VT,Last_VT,Max_VT,Delta_Max_Min_VT,is_swarm_detected_VT,Sum_LP,Last_LP,Max_LP,Delta_Max_Min_LP,is_swarm_detected_LP,Sum_tornillo,Last_tornillo,Max_tornillo,Delta_Max_Min_tornillo,is_swarm_detected_tornillo,Sum_Precipitations,Last_Precipitations,Max_Precipitations,Delta_Max_Min_Precipitations
1.0,0.0,1.0,1.0,0,3.0,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,99.0,23.0,48.0,25.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,3.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,1,0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,9.0,7.0,7.0,7.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3.0,3.0,3.0,3.0,1,65.0,58.0,58.0,58.0,1,0.0,0.0,0.0,0.0,0,12.1694,12.1694,12.1694,12.1694
3.0,0.0,2.0,2.0,0,4.0,0.0,3.0,3.0,0,2.0,0.0,2.0,2.0,0,50.730399999999996,12.6826,31.7065,25.365199999999998
0.0,0.0,0.0,0.0,0,3.0,2.0,2.0,2.0,1,0.0,0.0,0.0,0.0,0,4.0142,4.0142,4.0142,4.0142
0.0,0.0,0.0,0.0,0,2.0,0.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0,42.1592,21.869,21.869,11.7239
0.0,0.0,0.0,0.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,36.4484,21.869,21.869,21.869
1.0,1.0,1.0,1.0,1,9.0,4.0,4.0,2.0,0,0.0,0.0,0.0,0.0,0,26.3426,21.0868,21.0868,21.0868
0.0,0.0,0.0,0.0,0,10.0,3.0,4.0,1.0,0,1.0,1.0,1.0,1.0,1,6.3795,0.0,6.3795,6.3795
0.0,0.0,0.0,0.0,0,9.0,4.0,5.0,1.0,0,0.0,0.0,0.0,0.0,0,3.862,3.862,3.862,3.862
3.0,3.0,3.0,3.0,1,19.0,4.0,10.0,6.0,0,2.0,2.0,2.0,2.0,1,0.0,0.0,0.0,0.0
2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,9.0,5.0,5.0,3.0,1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,8.0,0.0,7.0,7.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,4.0,1.0,3.0,3.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,6.0,2.0,3.0,2.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
4.0,1.0,2.0,1.0,0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,5.022,0.0,5.022,5.022
4.0,0.0,3.0,3.0,0,11.0,7.0,7.0,5.0,1,1.0,1.0,1.0,1.0,1,33.1355,24.8516,24.8516,24.8516
0.0,0.0,0.0,0.0,0,8.0,2.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1,28.082700000000003,21.062,21.062,21.062
3.0,1.0,2.0,2.0,0,4.0,1.0,3.0,3.0,0,1.0,0.0,1.0,1.0,0,45.9223,17.6219,28.3004,28.3004
0.0,0.0,0.0,0.0,0,13.0,4.0,5.0,1.0,0,0.0,0.0,0.0,0.0,0,16.185200000000002,14.5858,14.5858,14.5858
0.0,0.0,0.0,0.0,0,13.0,1.0,6.0,5.0,0,1.0,0.0,1.0,1.0,0,9.569700000000001,3.1899,6.3798,6.3798
0.0,0.0,0.0,0.0,0,16.0,7.0,7.0,3.0,0,1.0,1.0,1.0,1.0,1,99.3791,24.8448,49.6895,24.844700000000003
0.0,0.0,0.0,0.0,0,77.0,15.0,34.0,32.0,0,12.0,2.0,4.0,4.0,0,50.8591,8.4765,16.953,8.4765
0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1,1.0,1.0,1.0,1.0,1,58.482,15.653,21.4145,5.7615
3.0,0.0,3.0,3.0,0,4.0,0.0,4.0,4.0,0,1.0,0.0,1.0,1.0,0,84.094,44.7622,44.7622,25.8995
1.0,1.0,1.0,1.0,1,11.0,8.0,8.0,7.0,1,1.0,1.0,1.0,1.0,1,7.0256,0.0,7.0256,7.0256
0.0,0.0,0.0,0.0,0,12.0,3.0,6.0,3.0,0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,8.0,2.0,4.0,2.0,0,1.0,1.0,1.0,1.0,1,34.7471,34.7471,34.7471,34.7471
6.0,1.0,3.0,2.0,0,12.0,1.0,9.0,8.0,0,0.0,0.0,0.0,0.0,0,68.2006,0.0,68.2006,68.2006
25.0,1.0,18.0,17.0,0,2.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,12.0,1.0,7.0,6.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
3.0,2.0,2.0,2.0,1,5.0,1.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0,10.4788,0.0,5.2394,5.2394
0.0,0.0,0.0,0.0,0,5.0,2.0,2.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0,20.901600000000002,6.9672,6.9672,0.0
1.0,1.0,1.0,1.0,1,23.0,8.0,9.0,3.0,0,0.0,0.0,0.0,0.0,0,26.560499999999998,15.9363,15.9363,15.9363
1.0,1.0,1.0,1.0,1,7.0,0.0,4.0,4.0,0,2.0,1.0,1.0,1.0,0,26.560499999999998,10.6242,10.6242,5.3121
0.0,0.0,0.0,0.0,0,14.0,3.0,7.0,4.0,0,4.0,2.0,2.0,2.0,0,17.5539,0.0,13.1654,13.1654
1.0,0.0,1.0,1.0,0,3.0,1.0,2.0,2.0,0,0.0,0.0,0.0,0.0,0,65.3535,12.8663,26.2436,13.3773
1.0,1.0,1.0,1.0,1,3.0,0.0,2.0,2.0,0,4.0,1.0,2.0,1.0,0,2.1713,0.0,2.1713,2.1713
0.0,0.0,0.0,0.0,0,4.0,1.0,2.0,1.0,0,5.0,3.0,3.0,3.0,1,43.6801,43.6801,43.6801,43.6801
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,8.0,4.0,4.0,2.0,0,44.7072,0.0,22.3536,22.3536
0.0,0.0,0.0,0.0,0,4.0,1.0,2.0,1.0,0,5.0,1.0,3.0,2.0,0,54.6666,0.0,36.4444,36.4444
22.0,9.0,9.0,3.0,0,8.0,1.0,7.0,7.0,0,0.0,0.0,0.0,0.0,0,28.6047,9.5349,19.0698,19.0698
27.0,9.0,11.0,4.0,0,4.0,0.0,3.0,3.0,0,4.0,2.0,2.0,1.0,0,28.3664,0.0,28.3664,28.3664
4.0,0.0,2.0,2.0,0,13.0,2.0,6.0,4.0,0,3.0,0.0,2.0,2.0,0,14.8413,0.0,9.8942,9.8942
26.0,0.0,26.0,26.0,0,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,2.0,2.0,2.0,2.0,1,1.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,2.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,4.0,0.0,3.0,3.0,0,12.0,0.0,8.0,8.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,2.0,1.0,1.0,1.0,0,3.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,5.0,0.0,4.0,4.0,0,3.0,0.0,3.0,3.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0,6.0,3.0,3.0,2.0,0,9.0,5.0,5.0,5.0,1,15.5627,0.0,10.3751,10.3751
0.0,0.0,0.0,0.0,0,12.0,1.0,9.0,8.0,0,13.0,5.0,5.0,2.0,0,20.6156,12.1516,12.1516,12.1516
0.0,0.0,0.0,0.0,0,7.0,3.0,3.0,1.0,0,9.0,0.0,7.0,7.0,0,0.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0,46.0,20.0,20.0,8.0,0,18.0,15.0,15.0,15.0,1,32.5687,16.2844,16.2844,10.856300000000001
0.0,0.0,0.0,0.0,0,5.0,0.0,4.0,4.0,0,103.0,13.0,52.0,39.0,0,51.638600000000004,12.9257,29.0347,19.3565
0.0,0.0,0.0,0.0,0,9.0,1.0,5.0,4.0,0,9.0,4.0,4.0,2.0,0,7.1461,0.0,7.1461,7.1461
0.0,0.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1,9.0,0.0,7.0,7.0,0,31.1304,5.3639,15.4599,10.096
0.0,0.0,0.0,0.0,0,7.0,2.0,3.0,1.0,0,5.0,1.0,3.0,2.0,0,7.6995,7.6995,7.6995,7.6995
