t1,time,Gap before measurement (min),date
2019-01-20 07:27:05.050,2019-01-20 07:27:00,0,2019-01-20
2019-01-23 18:30:57.625,2019-01-23 18:30:00,0,2019-01-23
2019-02-02 03:04:51.113,2019-02-02 03:04:00,0,2019-02-02
2019-02-06 01:06:17.275,2019-02-06 01:06:00,0,2019-02-06
2019-03-30 02:43:59.494,2019-03-30 02:43:00,0,2019-03-30
2019-03-31 09:28:15.401,2019-03-31 09:28:00,0,2019-03-31
2019-04-01 14:03:50.026,2019-04-01 14:03:00,0,2019-04-01
2019-04-03 20:35:48.185,2019-04-03 20:35:00,0,2019-04-03
2019-04-10 02:35:30.702,2019-04-10 02:35:00,0,2019-04-10
2019-04-10 12:17:32.700,2019-04-10 12:17:00,0,2019-04-10
2019-04-12 12:13:42.637,2019-04-12 12:13:00,0,2019-04-12
2019-04-13 06:07:47.614,2019-04-13 06:07:00,0,2019-04-13
2019-05-11 13:14:13.274,2019-05-11 13:14:00,0,2019-05-11
2019-05-11 13:19:34.310,2019-05-11 13:19:00,0,2019-05-11
2019-05-13 15:05:13.153,2019-05-13 15:05:00,0,2019-05-13
2019-05-14 23:04:27.336,2019-05-14 23:04:00,0,2019-05-14
2019-05-17 08:11:37.109,2019-05-17 08:11:00,0,2019-05-17
2019-05-21 00:13:37.042,2019-05-21 00:13:00,0,2019-05-21
2019-05-23 21:54:59.187,2019-05-23 21:54:00,0,2019-05-23
2019-05-24 00:45:50.715,2019-05-24 00:45:00,0,2019-05-24
2019-05-25 19:18:05.914,2019-05-25 19:18:00,0,2019-05-25
2019-06-05 21:43:17.056,2019-06-05 21:43:00,0,2019-06-05
2019-06-06 08:55:04.900,2019-06-06 08:55:00,0,2019-06-06
2019-06-06 08:58:51.700,2019-06-06 08:58:00,0,2019-06-06
2019-06-07 11:50:18.400,2019-06-07 11:50:00,0,2019-06-07
2019-06-09 19:28:50.125,2019-06-09 19:28:00,0,2019-06-09
2019-06-11 09:43:43.375,2019-06-11 09:43:00,0,2019-06-11
2019-09-12 14:30:20.875,2019-09-12 14:30:00,0,2019-09-12
2019-09-16 18:51:06.127,2019-09-16 18:51:00,0,2019-09-16
2019-09-28 15:40:12.162,2019-09-28 15:40:00,0,2019-09-28
2019-09-30 23:19:34.500,2019-09-30 23:19:00,0,2019-09-30
